"Module Version","Module Version"
"Composer Version","Composer Version"
"Configuration","Configuration"
"Please select indexers.","Please select indexers."
"Reindex %1 indexer(s).","Reindex %1 indexer(s)."
"We couldn't reindex because of an error.","We couldn't reindex because of an error."
"Reindex","Reindex"
